Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthWidth,MouthHeight,Timestamp
Scared,15.000000,14.035669,18.973666,16.155494,51.224994,44.407207,51.000000,104.000000,20.798000ms,
Scared,15.000000,14.035669,18.681542,16.155494,51.855569,44.407207,51.000000,104.000000,20.891000ms,
Scared,15.000000,13.038405,19.646883,16.155494,52.630789,44.407207,52.000000,104.000000,20.995000ms,
Scared,14.000000,15.033296,19.646883,16.155494,53.413481,44.721360,51.000000,105.042848,21.096000ms,
Scared,15.000000,14.142136,18.439089,16.763055,51.224994,44.553339,51.000000,103.004854,21.197000ms,
Scared,15.000000,14.035669,18.681542,17.464249,51.855569,44.553339,51.000000,104.000000,21.297000ms,
Scared,15.000000,13.038405,18.681542,15.652476,51.224994,44.721360,52.009614,104.004808,21.404000ms,
Scared,15.000000,13.038405,18.681542,17.464249,51.855569,44.553339,51.039201,102.000000,21.517000ms,
Scared,15.000000,13.152946,18.439089,16.763055,51.224994,44.553339,51.000000,103.004854,21.620000ms,
Scared,15.000000,13.038405,18.248288,15.652476,49.819675,42.755117,51.009803,105.042848,21.725000ms,
Scared,14.000000,14.035669,18.439089,17.464249,51.400389,43.737855,50.039984,102.019606,21.842000ms,
Scared,14.000000,12.041595,18.681542,16.552945,51.224994,44.721360,48.041649,102.004902,21.934000ms,
Scared,15.000000,14.035669,18.439089,17.888544,56.859476,51.478151,50.039984,100.000000,22.042000ms,
Scared,14.035669,15.132746,20.615528,18.788294,59.076222,53.235327,55.081757,93.048375,22.152000ms,
Surprised,16.031220,16.278821,20.880613,19.235384,59.363288,53.235327,64.070274,90.022219,22.256000ms,
Surprised,16.000000,15.132746,20.615528,20.124612,60.033324,53.235327,69.065187,89.005618,22.367000ms,
Surprised,16.124515,16.031220,20.880613,20.124612,60.033324,54.332311,72.111026,89.005618,22.476000ms,
Surprised,16.031220,15.132746,21.840330,19.235384,61.911227,54.332311,75.059976,90.000000,22.590000ms,
Surprised,16.000000,16.031220,20.880613,18.384776,60.539243,55.578773,80.024996,90.000000,22.703000ms,
Surprised,16.000000,15.033296,21.587033,19.697716,60.901560,55.226805,79.025312,89.000000,22.808000ms,
Surprised,16.031220,15.033296,21.840330,21.023796,60.033324,56.320511,78.025637,90.000000,22.908000ms,
Surprised,16.000000,16.031220,22.803509,19.697716,61.057350,56.435804,80.024996,90.000000,23.018000ms,
Surprised,15.033296,16.031220,22.803509,19.697716,60.033324,56.320511,79.025312,89.000000,23.121000ms,
Surprised,15.000000,15.132746,23.086793,19.697716,61.057350,56.320511,79.025312,90.000000,23.225000ms,
Surprised,15.000000,16.124515,22.135944,20.124612,60.207973,55.326305,79.000000,88.000000,23.336000ms,
Surprised,15.000000,17.117243,21.840330,18.788294,60.207973,52.469038,79.000000,89.022469,23.438000ms,
Surprised,15.000000,15.033296,22.561028,21.023796,59.682493,55.443665,80.024996,90.005555,23.546000ms,
Surprised,16.000000,15.132746,21.840330,20.124612,61.057350,54.332311,80.056230,90.000000,23.653000ms,
Surprised,15.033296,16.278821,23.537205,20.124612,61.057350,52.345009,78.025637,89.005618,23.757000ms,
Surprised,17.000000,16.031220,22.360680,20.591260,60.539243,54.332311,79.006329,90.000000,23.871000ms,
Surprised,16.000000,16.124515,20.615528,18.788294,57.982756,52.469038,80.024996,90.000000,23.980000ms,
Surprised,16.124515,15.132746,22.803509,19.235384,60.033324,53.338541,77.006493,90.005555,24.082000ms,
Surprised,17.029386,16.031220,22.803509,20.124612,60.539243,53.600373,79.000000,90.000000,24.178000ms,
Surprised,16.000000,15.297059,20.880613,20.124612,60.207973,52.345009,79.025312,90.000000,24.277000ms,
Surprised,17.029386,15.033296,22.803509,20.124612,60.539243,52.469038,79.006329,90.000000,24.376000ms,
Surprised,15.033296,16.000000,20.615528,18.788294,59.076222,53.460266,78.025637,89.000000,24.474000ms,
Surprised,16.031220,16.031220,20.880613,19.235384,59.363288,53.235327,78.000000,90.000000,24.581000ms,
Surprised,17.029386,16.124515,20.396078,18.788294,57.982756,53.600373,78.057671,90.000000,24.684000ms,
Surprised,16.000000,16.124515,19.924859,20.124612,57.688820,53.460266,76.000000,90.000000,24.786000ms,
Surprised,16.031220,16.124515,20.615528,19.235384,58.830264,52.239832,76.000000,89.000000,24.884000ms,
Surprised,17.000000,16.124515,19.924859,19.235384,57.688820,52.469038,75.000000,89.022469,25.001000ms,
Surprised,16.000000,16.124515,19.924859,19.235384,59.363288,52.345009,75.059976,90.005555,25.102000ms,
Surprised,16.000000,16.124515,19.924859,20.124612,57.982756,53.235327,74.027022,90.000000,25.207000ms,
Surprised,16.031220,16.124515,20.615528,19.235384,58.830264,52.239832,75.026662,90.005555,25.303000ms,
Surprised,16.000000,16.124515,21.587033,19.235384,59.682493,52.345009,75.059976,89.005618,25.405000ms,
